Set	Num	event_id	meanDeltaPSI
Positive	60	CTBP1;SE:chr4:1232125-1235113:1235307-1242704:-	-0.585422288
Positive	61	CTNNBIP1;SE:chr1:9938047-9943763:9943796-9970153:-	0.648421933
Positive	62	CTNNBL1;SE:chr20:36322554-36355704:36355804-36361281:+	0.9950991012
Positive	63	CWC25;SE:chr17:36971350-36971878:36971994-36977154:-	0.9920416284
Positive	64	CYP24A1;SE:chr20:52773828-52773927:52774124-52774625:-	-0.6336877513
Positive	65	DAAM1;SE:chr14:59798638-59805103:59805132-59806792:+	1
Positive	66	DAGLB;SE:chr7:6465745-6470111:6470238-6472468:-	-0.7817005
Positive	67	DAP;SE:chr5:10681281-10683641:10683683-10748287:-	-1
Positive	68	DARS;SE:chr2:136736936-136740967:136741024-136742973:-	-1
Positive	69	DDO;SE:chr6:110714545-110725977:110726153-110729537:-	-1
Positive	70	DDX42;SE:chr17:61851736-61852468:61852538-61864394:+	0.681411643
Positive	71	DDX47;SE:chr12:12976253-12976804:12976950-12977474:+	-1
Positive	72	DEPDC1;SE:chr1:68947295-68947729:68948580-68949633:-	0.44270511
Positive	73	DEPDC1B;SE:chr5:59893741-59894902:59895087-59899218:-	-0.9868844433
Positive	74	DGAT2;SE:chr11:75480157-75495663:75495791-75501233:+	-0.2837019508
Positive	75	DNAJC27;SE:chr2:25170617-25174263:25174423-25179912:-	-0.466155111
Positive	76	DPY19L2P2;SE:chr7:102815858-102824449:102824574-102825885:-	0.2421688
Positive	77	EFEMP1;SE:chr2:56149582-56150034:56150074-56150846:-	0.7250700467
Positive	78	EMC10;SE:chr19:50984234-50985118:50985204-50985406:+	0.985912608
Positive	79	EMC4;SE:chr15:34520047-34520630:34520790-34521954:+	-0.5219283582
Positive	80	ENAH;SE:chr1:225688772-225692693:225692755-225695653:-	0.9458129741
Positive	81	ESM1;SE:chr5:54275263-54277825:54277974-54281045:-	1
Positive	82	EVI2A;SE:chr17:29646041-29647391:29647531-29648513:-	0.9129907523
Positive	83	EVI5L;SE:chr19:7920954-7921978:7922010-7923077:+	0.4114820292
Positive	84	EXOSC3;SE:chr9:37780877-37781983:37782134-37783911:-	-0.6838151156
Positive	85	F3;SE:chr1:94996152-94997877:94998036-94998646:-	-0.9725981808
Positive	86	FAM173A;SE:chr16:771941-772084:772134-772309:+	-0.644491689
Positive	87	FAM222A-AS1;SE:chr12:110173626-110179910:110179970-110211102:-	1
Positive	88	FAM64A;SE:chr17:6352727-6353348:6353392-6353682:+	-0.9137058702
Positive	89	FDXACB1;SE:chr11:111747735-111749280:111749436-111749685:-	-0.964467005
Positive	90	FLNA;SE:chrX:153583440-153585619:153585642-153585802:-	-0.6518459024
Positive	91	FLNC;SE:chr7:128489632-128490030:128490128-128490438:+	-0.8807646778
Positive	92	FNIP1;SE:chr5:131044965-131046271:131046354-131052258:-	0.9214852025
Positive	93	FPR1;SE:chr19:52250258-52253456:52253506-52255067:-	0.7602509426
Positive	94	GALNT13;SE:chr2:155295238-155303110:155303277-155306923:+	0.8446191589
Positive	95	GCSH;SE:chr16:81118199-81121206:81121269-81124206:-	-0.9759340848
Positive	96	GFPT1;SE:chr2:69577315-69581391:69581444-69581621:-	0.9685460761
Positive	97	GIT1;SE:chr17:27905797-27905980:27906006-27908356:-	0.8339174375
Positive	98	GMFG;SE:chr19:39825950-39826075:39826171-39826614:-	-0.7386169037
Positive	99	GOT2;SE:chr16:58753159-58756054:58756182-58757650:-	-0.995208251
Positive	100	GPR63;SE:chr6:97247757-97279657:97279774-97285144:-	1
Positive	101	GRB2;SE:chr17:73317908-73321979:73322101-73328781:-	-0.9963788848
Positive	102	GTF2H1;SE:chr11:18344287-18347494:18347700-18354607:+	0.9180681454
Positive	103	HADH;SE:chr4:108948916-108953483:108953533-108954332:+	0.9968280623
Positive	104	HERC6;SE:chr4:89345125-89345747:89345854-89349732:+	-1
Positive	105	HIBCH;SE:chr2:191069958-191073606:191073639-191077682:-	-0.9459398316
Positive	106	HIRIP3;SE:chr16:30005129-30005227:30006164-30006424:-	-0.7445481217
Positive	107	IFT46;SE:chr11:118427760-118428453:118428605-118430500:-	0.7842866648
Positive	108	IL11;SE:chr19:55879937-55880137:55880309-55881672:-	-0.952544855
Positive	109	IL18;SE:chr11:112020929-112024315:112024326-112025698:-	-0.872658923
Positive	110	INCENP;SE:chr11:61908516-61908972:61908983-61912454:+	0.3673422423
Positive	111	INSR;SE:chr19:7143101-7150508:7150543-7152737:-	0.8406504067
Positive	112	INTS12;SE:chr4:106621171-106624805:106624966-106629795:-	0.8959214529
Positive	113	IPO5P1;SE:chr19:23444546-23453020:23453094-23456878:-	-0.3333333333
Positive	114	ISCA2;SE:chr14:74960855-74960978:74961093-74961529:+	-0.9971274687
Positive	115	ISPD;SE:chr7:16348252-16415717:16415866-16445686:-	-1
Positive	116	JAM3;SE:chr11:134010665-134014136:134014288-134014687:+	1
Positive	117	KARS;SE:chr16:75675621-75678181:75678360-75681476:-	0.7071428593
Positive	118	KBTBD3;SE:chr11:105929836-105947234:105947434-105948039:-	-0.4776822276
Positive	119	KDELR2;SE:chr7:6502806-6505702:6505954-6509227:-	-0.9883649647
Positive	120	KIAA0232;SE:chr4:6784568-6806250:6806333-6825912:+	0.4934235777
Positive	121	KIF25;SE:chr6:168442831-168443241:168443396-168445507:+	0.3703703704
Positive	122	KITLG;SE:chr12:88900914-88909311:88909394-88910111:-	-0.7973795861
Positive	123	KLHL22;SE:chr22:20819863-20825637:20825802-20843272:-	-0.9294117647
Positive	124	KPNA1;SE:chr3:122172848-122176573:122176695-122180071:-	0.9806244353
Positive	125	KRAS;SE:chr12:25362845-25368371:25368494-25378548:-	0.9621936602
Positive	126	LANCL3;SE:chrX:37526742-37527621:37527703-37534907:+	1
Positive	127	LIF;SE:chr22:30640050-30640744:30640922-30642666:-	-0.9518658549
Positive	128	LOC100996579;SE:chr2:162101406-162101935:162101978-162103386:+	-0.9328050117
Positive	129	LOC101928979;SE:chr1:145376692-145377017:145377311-145382056:-	-0.7368421053
Positive	130	LRRC14;SE:chr8:145743425-145744133:145744199-145744999:+	0.7799718973
Positive	131	LRRC42;SE:chr1:54412222-54413461:54413494-54417659:+	-0.3274905302
Positive	132	LRRC75A;SE:chr17:16347445-16351159:16351274-16365572:-	-0.8855721393
Positive	133	LSM14A;SE:chr19:34712643-34717313:34717369-34718270:+	0.4345678276
Positive	134	LSM4;SE:chr19:18423512-18426834:18426875-18433828:-	-0.9841575833
Positive	135	LY96;SE:chr8:74903789-74917031:74917120-74922236:+	-0.934957856
Positive	136	MAP3K6;SE:chr1:27690885-27691152:27691175-27691264:-	-0.8297047824
Positive	137	MAP4K3;SE:chr2:39526942-39535084:39535146-39536602:-	-0.2210864827
Positive	138	MBOAT1;SE:chr6:20128984-20131375:20131430-20144451:-	-0.7670011148
Positive	139	MCM3;SE:chr6:52147659-52148092:52148204-52149395:-	-0.9932763342
Positive	140	METTL21B;SE:chr12:58166911-58168412:58168550-58174038:+	0.5809010008
Positive	141	MGEA5;SE:chr10:103559212-103559999:103560157-103563492:-	-0.9714595383
Positive	142	MPHOSPH9;SE:chr12:123707674-123710835:123710898-123712010:-	0.9098984421
Positive	143	MRPL2;SE:chr6:43022224-43023283:43023356-43023635:-	-0.8404238898
Positive	144	MRPL22;SE:chr5:154320825-154330381:154330498-154335931:+	-0.8753093767
Positive	145	MRPL33;SE:chr2:27995559-27997291:27997397-28002300:+	-0.3244075692
Positive	146	MRPL47;SE:chr3:179319578-179320440:179320585-179322315:-	-0.9755983525
Positive	147	MSMO1;SE:chr4:166248916-166254492:166254777-166258941:+	-0.3318669488
Positive	148	MTX1;SE:chr1:155180418-155181918:155182010-155182176:+	-0.8281423387
Positive	149	MYO5A;SE:chr15:52632591-52635314:52635394-52638558:-	-0.403597888
Positive	150	NDUFAF1;SE:chr15:41680720-41686303:41686556-41687057:-	0.8707445012
Positive	151	NEMF;SE:chr14:50272851-50280706:50280768-50281472:-	-0.9197294758
Positive	152	NENF;SE:chr1:212606462-212615907:212615967-212617681:+	-0.873352837
Positive	153	NOB1;SE:chr16:69783533-69786144:69786274-69788497:-	-0.8677046962
Positive	154	NOSIP;SE:chr19:50063949-50080016:50080134-50083772:-	0.9468694006
Positive	155	NR2C2;SE:chr3:15045493-15046064:15046120-15055096:+	0.3440436352
Positive	156	NSDHL;SE:chrX:151999661-152000178:152000244-152014826:+	0.5413555101
Positive	157	NT5C2;SE:chr10:104934739-104940988:104941085-104952993:-	0.5240654092
Positive	158	OLAH;SE:chr10:15091764-15098823:15098981-15103723:+	0.7037037037
Positive	159	OSBPL10;SE:chr3:31789612-31871532:31871723-31917925:-	-0.8319031826
Positive	160	OTUD6B;SE:chr8:92086139-92088820:92088959-92090584:+	0.9839435845
Positive	161	PAPSS2;SE:chr10:89475600-89481513:89481527-89487041:+	1
Positive	162	PITPNM3;SE:chr17:6406894-6428676:6428783-6441307:-	0.3250274969
Positive	163	PKIA;SE:chr8:79428703-79485046:79485174-79510593:+	-0.7825272594
Positive	164	PKP2;SE:chr12:32994139-32996116:32996247-33003700:-	0.9783144686
Positive	165	PLEKHA4;SE:chr19:49357521-49360679:49360753-49362117:-	-0.7263681593
Positive	166	PLEKHO2;SE:chr15:65134227-65140792:65140941-65147120:+	-0.9718361453
Positive	167	PLOD2;SE:chr3:145794682-145795649:145795711-145796903:-	-0.8251006122
Positive	168	POMK;SE:chr8:42952758-42957648:42957743-42958671:+	-0.785150079
Positive	169	POP4;SE:chr19:30099616-30101316:30101539-30102769:+	-0.837270527
Positive	170	PPFIA3;SE:chr19:49640168-49641462:49641684-49642925:+	-1
Positive	171	PPIA;SE:chr7:44836392-44838347:44838503-44838846:+	0.946616681
Positive	172	PRKAA1;SE:chr5:40771965-40775030:40775074-40775512:-	0.3662689908
Positive	173	PRSS35;SE:chr6:84222413-84231254:84231358-84233141:+	0.3333333333
Positive	174	PTPN1;SE:chr20:49127127-49177900:49177990-49181506:+	-0.9539888377
Positive	175	PXMP4;SE:chr20:32295775-32298361:32298559-32302480:-	-0.821480137
Positive	176	RAB11FIP1;SE:chr8:37728046-37728796:37730697-37732033:-	0.7735492174
Positive	177	RAB2A;SE:chr8:61429812-61471411:61471482-61484605:+	-0.9845976
Positive	178	RAB35;SE:chr12:120535177-120536615:120536739-120536834:-	-0.9357486655
Positive	179	RAB9A;SE:chrX:13707407-13721933:13722021-13726840:+	-0.7200293328
Positive	180	RAC1;SE:chr7:6431672-6438293:6438349-6439757:+	0.9931702876
Positive	181	RAD51AP1;SE:chr12:4653070-4654948:4654998-4655475:+	0.4159865774
Positive	182	RBM5;SE:chr3:50137484-50137965:50138038-50140516:+	-0.588668763
Positive	183	RITA1;SE:chr12:113623826-113623990:113624121-113624488:+	-0.8807555186
Positive	184	RMND1;SE:chr6:151757689-151766443:151766960-151773151:-	-0.2747315653
Positive	185	ROGDI;SE:chr16:4850579-4851268:4851322-4851504:-	-0.4470550918
Positive	186	RPF2;SE:chr6:111306341-111310231:111310268-111312950:+	-0.9942455783
Positive	187	RPLP1;SE:chr15:69745359-69745986:69746060-69747509:+	-0.9851373045
Positive	188	RRAGB;SE:chrX:55748718-55753740:55753823-55755727:+	0.890202259
Positive	189	RSU1;SE:chr10:16824083-16858972:16859083-16859314:-	-0.4302668929
Positive	190	S100A4;SE:chr1:153517285-153517946:153517994-153518229:-	0.8668618663
Positive	191	SAP130;SE:chr2:128712918-128735559:128735663-128744359:-	-0.223860829
Positive	192	SCAMP3;SE:chr1:155230450-155231448:155231525-155231877:-	-0.6457675373
Positive	193	SCAPER;SE:chr15:77067458-77085574:77085732-77087621:-	0.9732262
Positive	194	SCARB1;SE:chr12:125263132-125267229:125267357-125270903:-	-0.7209652467
Positive	195	SCNN1D;SE:chr1:1219470-1220951:1221044-1221306:+	1
Positive	196	SDHA;SE:chr5:224636-225534:225677-225998:+	-0.9569134691
Positive	197	SERAC1;SE:chr6:158537314-158538759:158538853-158540061:-	-0.787382
Positive	198	SERPINH1;SE:chr11:75273364-75274772:75274815-75277361:+	0.9930494017
Positive	199	SETD5;SE:chr3:9470693-9471511:9471735-9475529:+	0.2433029
Positive	200	SFXN4;SE:chr10:120900831-120901765:120901885-120905748:-	0.5581656
Positive	201	SGSM2;SE:chr17:2268635-2270565:2270699-2274556:+	0.4165321888
Positive	202	SH2D5;SE:chr1:21054096-21054451:21054579-21058674:-	0.2331639688
Positive	203	SHARPIN;SE:chr8:145153897-145153984:145154108-145154180:-	-0.8481055754
Positive	204	SLC16A6;SE:chr17:66274468-66279138:66279264-66287227:-	0.6667462443
Positive	205	SLC17A9;SE:chr20:61584241-61584563:61584624-61588117:+	0.8079956589
Positive	206	SLC25A12;SE:chr2:172701018-172712344:172712459-172725191:-	-0.988291255
Positive	207	SLC37A2;SE:chr11:124955914-124956100:124956156-124958015:+	0.991971056
Positive	208	SLC39A6;SE:chr18:33704663-33706182:33706979-33709077:-	-1
Positive	209	SLC46A1;SE:chr17:26727783-26729256:26729339-26731634:-	-0.9282945737
Positive	210	SLC4A5;SE:chr2:74454257-74454644:74454691-74454937:-	1
Positive	211	SLC9A1;SE:chr1:27436268-27440317:27440777-27480474:-	-0.916931217
Positive	212	SMA4;SE:chr5:69438272-69492705:69492797-69493082:-	-1
Positive	213	SMC6;SE:chr2:17927218-17934245:17934331-17934893:-	0.4920037354
Positive	214	SMPDL3A;SE:chr6:123110603-123116822:123117035-123117969:+	-0.769771797
Positive	215	SNRPD2;SE:chr19:46191824-46192491:46192605-46195145:-	0.9813246715
Positive	216	SPATC1L;SE:chr21:47588572-47602538:47603688-47604270:-	0.9985669247
Positive	217	SRP14;SE:chr15:40329219-40329510:40329549-40330483:-	0.9812933949
Positive	218	SRP9;SE:chr1:225971070-225974564:225974687-225976942:+	0.8881358459
Positive	219	SRSF6;SE:chr20:42087149-42087793:42088060-42088411:+	0.9406106003
Positive	220	STX2;SE:chr12:131276522-131280540:131280665-131283070:-	0.6555699696
Positive	221	SUMO2;SE:chr17:73164496-73170847:73170918-73177152:-	-0.9953729068
Positive	222	SURF1;SE:chr9:136221812-136223124:136223175-136223276:-	-1
Positive	223	SWAP70;SE:chr11:9715833-9735013:9735186-9746205:+	-0.872790263
Positive	224	SYF2;SE:chr1:25554726-25555489:25555614-25558595:-	-0.968370453
Positive	225	TBC1D23;SE:chr3:100029386-100030677:100030721-100034943:+	-0.7062830684
Positive	226	TBC1D24;SE:chr16:2547114-2547711:2547728-2548239:+	0.9610027855
Positive	227	TBC1D31;SE:chr8:124142573-124146354:124146446-124153001:+	-0.2210355
Positive	228	TBC1D9B;SE:chr5:179292888-179294445:179294495-179294778:-	0.8605416994
Positive	229	TBP;SE:chr6:170863551-170865970:170866171-170870879:+	-1
Positive	230	TCERG1;SE:chr5:145843356-145847904:145847966-145849107:+	0.552321556
Positive	231	TCF20;SE:chr22:42557364-42564615:42564742-42565853:-	0.7580593392
Positive	232	TERF1;SE:chr8:73939287-73942571:73942630-73944277:+	0.7869036235
Positive	233	TFIP11;SE:chr22:26906668-26907085:26907161-26908065:-	0.9378275624
Positive	234	TGFBR2;SE:chr3:30648469-30664691:30664765-30686239:+	0.6446533079
Positive	235	TGM5;SE:chr15:43548884-43552250:43552495-43552598:-	1
Positive	236	THOC6;SE:chr16:3077281-3077367:3077501-3077578:+	-0.9888019633
Positive	237	TIA1;SE:chr2:70454954-70456191:70456223-70456396:-	-0.8040366337
Positive	238	TIMM17B;SE:chrX:48752384-48752635:48752784-48754042:-	0.8579571973
Positive	239	TIMM8B;SE:chr11:111956186-111956702:111957034-111957364:-	0.5186249031
Positive	240	TMEM11;SE:chr17:21102153-21114249:21114540-21117404:-	0.7959114379
Positive	241	TMEM165;SE:chr4:56262563-56269403:56269505-56277781:+	0.9962248323
Positive	242	TMEM2;SE:chr9:74347436-74349722:74349910-74354979:-	-0.6255738611
Positive	243	TMEM206;SE:chr1:212583863-212587240:212587422-212588064:-	0.9866917215
Positive	244	TMEM30A;SE:chr6:75975054-75977357:75977464-75994118:-	-0.9852763827
Positive	245	TMOD2;SE:chr15:52073371-52074918:52075025-52090394:+	-0.25
Positive	246	TOPORS;SE:chr9:32544324-32550772:32550966-32552432:-	0.2804588381
Positive	247	TRA2B;SE:chr3:185643414-185644389:185644522-185655613:-	-0.9211346999
Positive	248	TRAF6;SE:chr11:36523087-36523269:36523361-36531598:-	1
Positive	249	TRAP1;SE:chr16:3739138-3740828:3740986-3767422:-	-1
Positive	250	TRIM54;SE:chr2:27522284-27522398:27522523-27527827:+	0.7358490567
Positive	251	TRIM65;SE:chr17:73887428-73887894:73887959-73888092:-	-0.5550069505
Positive	252	TRPC1;SE:chr3:142455375-142462327:142462428-142467100:+	1
Positive	253	TSPAN9;SE:chr12:3186619-3192819:3192885-3310343:+	-0.7031933813
Positive	254	TULP4;SE:chr6:158919844-158922710:158925210-158927610:+	-0.2395402902
Positive	255	UBA3;SE:chr3:69127069-69129263:69129304-69129485:-	-0.4715023441
Positive	256	UBE2D1;SE:chr10:60121161-60121255:60121286-60123369:+	-0.6329655676
Positive	257	UBE4B;SE:chr1:10165802-10166255:10166641-10177517:+	0.9502087895
Positive	258	USP14;SE:chr18:166819-178933:179037-180236:+	-0.9022169173
Positive	259	VPS37A;SE:chr8:17104878-17123416:17123490-17125767:+	-0.925847803
Positive	260	WASF2;SE:chr1:27734840-27736186:27736700-27739066:-	-0.857184649
Positive	261	WDR35;SE:chr2:20160375-20162056:20162088-20166485:-	1
Positive	262	WDR7;SE:chr18:54426184-54444013:54444111-54446662:+	1
Positive	263	XPA;SE:chr9:100437869-100444482:100444712-100447205:-	0.9779583367
Positive	264	XPO6;SE:chr16:28192352-28220308:28220443-28222687:-	0.9571876013
Positive	265	YJEFN3;SE:chr19:19639800-19640173:19640322-19643441:+	1
Positive	266	ZBTB40;SE:chr1:22778497-22779152:22779439-22816373:+	0.960199005
Positive	267	ZBTB43;SE:chr9:129567411-129571072:129571194-129594766:+	-0.7014877037
Positive	268	ZDHHC13;SE:chr11:19138823-19164525:19164670-19167728:+	-0.6767138463
Positive	269	ZFP62;SE:chr5:180278493-180278988:180279060-180288219:-	1
Positive	270	ZFYVE9;SE:chr1:52729544-52732327:52732503-52734135:+	-0.8873077983
Positive	271	ZNF497;SE:chr19:58869015-58869855:58869951-58874043:-	1
Positive	272	ZNF506;SE:chr19:19906469-19916840:19916935-19917751:-	-1
Positive	273	ZNF548;SE:chr19:57901482-57905556:57905591-57908416:+	-1
Positive	274	ZNF76;SE:chr6:35260821-35261528:35261692-35262233:+	-0.5475866662
Positive	275	ZNF805;SE:chr19:57752289-57755291:57755417-57759973:+	-0.9777777777
Positive	276	ZNF91;SE:chr19:23545527-23556544:23556639-23557440:-	-0.9076923077
Positive	277	ZSCAN16-AS1;SE:chr6:28090989-28093401:28093597-28104523:-	0.9654696643
